Signal,Mean (µV),RMS (µV),MRS (µV),Zero Crossings,Frequency (Hz),Delta (µV² /Hz),Theta (µV² /Hz),Alpha (µV² /Hz),Beta (µV² /Hz),Gamma (µV² /Hz),Label
e13.9,332.326,876.0031,752.6544,14,7,45.63959675,2.705927323,2.991852648,1.435339685,0.1764371618,1
e13.10,179.348,857.9302,741.9392,9,4.5,49.34655665,6.165379837,4.550370454,2.314062228,0.2990756109,1
e13.11,263.7245,875.1591,759.8952,14,7,43.37238475,3.065957231,2.980697757,1.580493819,0.1886138958,1
e13.12,232.102,836.1585,684.7555,15,7.5,36.61925484,7.730053473,4.949955119,2.324480837,0.3304467185,1
e13.13,98.6936,1045.5142,873.8203,13,6.5,52.51677542,5.50170962,4.191394645,2.305593976,0.3788699023,1
e13.14,263.333,572.6672,490.4583,22,11,46.21789411,3.69858809,3.074198696,1.542263287,0.2196707031,1
e13.15,241.0198,545.1835,431.2007,22,11,40.21413375,4.088756556,4.222838892,2.255658677,0.254172366,1
e13.16,-200.9632,873.9042,733.0619,8,4,50.92671743,3.227591016,3.072104725,1.470472421,0.1787446585,1
e13.17,-652.1,1344.5949,911.8338,13,6.5,93.98170032,4.543216507,4.43487241,2.31097473,0.250337885,1
e13.18,119.8702,1271.2307,1133.7904,1,0.5,70.15259272,4.122257073,3.432981953,1.619982093,0.1916330962,1
e13.19,-469.5884,801.0257,605.5733,9,4.5,50.18606286,4.872176728,4.344599023,2.154297945,0.2704771121,1
e13.20,-179.3134,934.246,854.7807,3,1.5,54.16840521,4.720623927,3.29806062,1.546560393,0.19356146,1
e14.1,440.4429,768.2649,476.9028,12,6,35.94646957,3.275387354,1.556990885,1.330640433,0.3543492504,1
e14.2,75.6739,453.4499,357.7942,8,4,18.74534496,2.623596957,1.635987056,1.351813204,0.3587609449,1
e14.3,292.8118,503.6085,366.1324,9,4.5,15.16528296,3.806776419,2.591230324,1.814245586,0.3556781071,1
e14.4,406.8461,542.9861,465.0271,4,2,15.67331817,2.81630902,1.842699367,1.454533031,0.4588063223,1
e14.5,270.2961,430.2443,349.0256,4,2,30.91920263,3.597686138,2.213228727,1.736168947,0.5217284711,1
e14.6,157.8289,404.6563,311.466,5,2.5,37.83709283,3.88884586,1.374644105,1.213070981,0.3316793929,1
e14.7,460.3896,757.5159,576.8001,7,3.5,23.95375295,4.242926812,2.058164294,1.753918873,0.3947868079,1
e14.8,462.5087,650.9181,504.7404,8,4,32.46578921,2.277283739,1.161281052,0.9053557672,0.3034927492,1
e14.9,519.4622,1499.7358,1171.5323,2,1,20.41595712,2.34534196,1.874873923,1.473036098,0.4698117299,1
e14.10,644.4893,895.6389,782.7444,6,3,35.36698097,3.025202513,1.446385525,1.209445253,0.3035544713,1
e14.11,303.3184,445.2401,326.519,4,2,46.04746642,2.898745598,1.402855492,1.173476313,0.29046668,1
e14.12,601.6119,1076.3411,751.7435,2,1,10.25555922,5.100734389,2.081441112,1.914233301,0.5312993842,1
e14.13,-6.762,360.8869,262.7268,13,6.5,35.38783552,3.404244246,1.628258281,1.287149237,0.2996466605,1
e14.14,535.6129,909.215,764.9715,3,1.5,38.52441941,3.339173559,1.958665933,1.6855665,0.4182131327,1
e14.15,838.0095,1034.7177,858.0436,2,1,24.4682593,2.109403058,1.440010751,1.194092946,0.3041874882,1
e14.16,-240.295,478.7559,441.1013,7,3.5,15.27900543,3.365833494,1.611132572,1.199662962,0.2853473959,1
e14.17,30.4555,438.1795,365.9767,6,3,24.62210395,4.588437636,3.106442843,1.917482816,0.3903621995,1
e14.18,524.4129,822.9167,703.3062,5,2.5,32.70481205,3.714583346,1.548030184,1.192536864,0.2984385104,1
e14.19,920.3573,982.9549,726.5096,2,1.5,15.60245749,3.806818518,2.134119446,1.761724491,0.3636499278,1
e14.20,19.592,561.6899,457.5815,10,5,103.1790961,7.510406022,2.646300755,1.393984787,0.3364492054,1
e15.1,422.4799,450.0938,422.4799,0,0,8.273064977,0.1549487552,0.03267158091,0.009413866824,0.003872504127,1
e15.2,514.9135,525.3926,514.9135,0,0,12.01091355,0.1073597776,0.03036742741,0.01308166419,0.007377494792,1
e15.3,388.8087,400.6042,388.808,0,0,6.716111119,0.08055385423,0.06507367639,0.07299865582,0.02867436537,1
e15.4,211.1518,262.354,224.114,14,7,4.58371874,0.1538768194,0.04297822504,0.01251237927,0.006257128103,1
e15.5,211.9708,233.4334,217.0528,4,2,3.726874347,0.1067332911,0.2309333865,0.2488309059,0.09847454091,1
e15.6,242.4454,302.712,242.8085,4,2,11.28665088,0.5746760632,0.1489167003,0.03986868392,0.01448232566,1
e15.7,411.6694,444.552,411.6694,0,0,21.00755064,0.5000126553,0.2287741945,0.03681654503,0.009079412838,1
e15.8,313.9614,337.3812,314.0455,1,0.5,5.199105131,0.2251863104,0.105782338,0.02610111789,0.01440295162,1
e15.9,263.8745,319.9213,268.7849,11,5.5,6.569201338,0.2255080814,0.04816804759,0.01492836991,0.004700412002,1
e15.10,189.0051,228.9452,191.445,14,7,3.15693105,0.09313260161,0.03667015161,0.009924797209,0.005017387724,1
e15.11,186.1429,217.6017,193.3918,10,5,1.826570757,0.1572416206,0.02300358617,0.01428806964,0.01397958935,1
e15.12,100.2694,162.7546,121.6079,40,20,1.042609544,0.2007823585,0.02567363005,0.01063199678,0.005322759235,1
e15.13,528.9749,1559.3141,616.6103,46,23,741.0624618,156.9704521,12.29331534,9.980540906,3.525560171,1
e15.14,2509.0366,2979.48,2667.1747,26,13,4248.411598,55.81244196,12.88890163,5.136553569,5.185208701,1
e15.15,-473.696,2296.058,1950.0533,72,36,435.9881416,64.31839447,28.03462311,11.34887165,9.391778224,1
e15.16,820.7292,881.4931,820.7292,0,0,422.940607,1.622852195,0.7948630182,0.155215678,0.03716596325,1
e15.17,495.7995,513.0407,495.7995,0,0,183.6253691,0.2300029315,0.07026555832,0.02026581697,0.007362595505,1
e15.18,166.5938,210.0541,170.2326,8,4,22.81245351,0.2186739064,0.0873926182,0.01423719623,0.004540177926,1
e15.19,17.5459,93.4501,77.4882,15,7.5,5.767051483,0.1986396425,0.05087224991,0.01377246141,0.00516096123,1
e15.20,-27.4042,76.783,51.8299,22,11,2.933490621,0.04119199101,0.01595771566,0.007531006512,0.003583461457,1
e16.1,13.9799,128.1495,103.4473,11,5.5,1.25350547,0.3184814783,0.2018341714,0.2004464799,0.09447648925,1
e16.2,28.3066,132.7451,110.5168,5,2.5,2.127027555,0.4605530071,0.295948113,0.3366858521,0.1553259801,1
e16.3,70.5533,148.354,105.61,7,3.5,1.990966269,0.2921754754,0.2415013592,0.2011079378,0.100120548,1
e16.4,74.242,175.0294,108.2673,17,8.5,1.648082523,0.5405879924,0.3621701472,0.2962500722,0.1333885776,1
e16.5,-74.4374,129.5658,106.999,7,3.5,2.053735193,0.4891217806,0.3585566403,0.3409759903,0.152597862,1
e16.6,-66.8705,134.1435,107.1835,22,11,1.181553791,0.3083803877,0.1599639643,0.2001597079,0.09354360551,1
e16.7,-43.5639,106.7512,76.0643,21,10.5,0.7912773733,0.4795995889,0.251773973,0.3466257458,0.1642847503,1
e16.8,-25.0002,107.1427,77.5368,21,10.5,1.039072085,0.3006932484,0.2894564741,0.335578552,0.1600101811,1
e16.9,41.5745,127.9336,91.4067,13,6.5,2.03678939,0.6536536606,0.4321395563,0.3176467275,0.1508192394,1
e16.10,-1.6904,92.8628,63.3122,16,8,0.9081768535,0.4246589501,0.5783930929,0.3965805138,0.2817572016,1
e16.11,-3.987,113.6679,77.674,40,20,0.9006240138,0.2559531887,0.2305463293,0.2770024096,0.1287365317,1
e16.12,-18.4718,108.1227,77.8826,55,27.5,0.9574034951,0.5571059872,0.3487842563,0.329016366,0.1720723888,1
e16.13,2.2106,133.4872,96.5332,70,35,0.8176659293,0.3329566091,0.3039631447,0.3112423277,0.1521631963,1
e16.14,-23.2382,117.0551,86.5429,76,38,1.424735431,0.3954268086,0.2151063886,0.2226944724,0.1014795117,1
e16.15,-52.4811,171.0216,131.7894,32,16,0.7799548306,0.3172837512,0.2572601177,0.3375075461,0.1301476815,1
e16.16,-8.1403,124.1569,94.6974,69,34.5,0.890400247,0.3028702338,0.2236773536,0.2034266062,0.09477318904,1
e16.17,33.0495,140.8668,108.7144,55,27.5,3.569521837,0.4788283268,0.2561096754,0.325778287,0.1542811988,1
e16.18,64.4471,144.7417,105.0349,66,33,1.250792604,0.2658504349,0.2484559836,0.3031954753,0.1474592961,1
e16.19,94.203,150.8276,112.4411,52,26,1.43951945,0.3589687143,0.2400424363,0.2245445322,0.1018417907,1
e16.20,-4.3889,128.7578,97.9351,73,36.5,1.108366977,0.371891559,0.2681256779,0.3094307366,0.1535824469,1
e17.1,-31.2018,198.2092,157.1978,10,5,3.162728874,0.1911215783,0.0373732419,0.01750259682,0.01144018451,0
e17.2,-16.7902,355.0926,305.91,2,1,8.027170298,0.3612207549,0.07258560849,0.0280228814,0.01206859626,0
e17.3,582.879,654.69,582.879,0,0,15.1675452,0.2261596567,0.071968374,0.02383773968,0.01307173194,0
e17.4,280.4183,595.8025,535.5677,2,1,14.92734674,0.8003125558,0.09412653399,0.02459548074,0.01262740593,0
e17.5,486.6045,558.0681,502.2238,2,1,18.33719323,0.2484418488,0.1495693841,0.04481157177,0.01618101371,0
e17.6,971.1722,995.9126,971.1722,0,0,41.83908034,0.1871661728,0.07428958237,0.021864453,0.01256293382,0
e17.7,1044.9701,1046.31,1044.9701,0,0,40.79045508,0.06039585659,0.009866794868,0.01643304909,0.01237375162,0
e17.8,442.0657,542.0926,454.5761,6,3,15.52185898,0.226000377,0.09241370342,0.02805901563,0.0132113394,0
e17.9,-30.0391,445.0844,415.9765,1,0.5,11.21584337,0.465852236,0.166961449,0.0424651858,0.01803188443,0
e17.10,309.3226,478.1551,378.4135,12,6,10.76706447,0.8585769667,0.2366027272,0.0395609593,0.01318682156,0
e17.11,672.6139,828.6884,686.3582,4,2,24.16689618,0.4582897331,0.3352125183,0.05842519165,0.01395070115,0
e17.12,-71.1193,739.9716,620.9033,3,1.5,13.10748245,0.7652145985,0.1685319509,0.07270794659,0.01801973289,0
e17.13,-166.267,376.9351,248.6498,9,4.5,11.23280891,0.2828566949,0.11110317,0.04655478177,0.01567155678,0
e17.14,-401.315,480.1644,408.7846,6,3,18.84983895,0.3361267608,0.09022611509,0.02993409182,0.01461062951,0
e17.15,506.7158,803.5629,735.575,1,0.5,21.59669539,0.6653571639,0.1033973785,0.06041039543,0.02162733409,0
e17.16,368.9717,586.9575,488.6781,2,1,11.66073198,0.3816603405,0.07071424688,0.02882060441,0.01290872938,0
e17.17,180.1316,201.6737,180.1316,0,0,5.409396276,0.08877437987,0.02129678457,0.01434269014,0.01137804749,0
e17.18,-444.7649,602.1585,461.3484,1,0.5,20.68406858,0.6625782164,0.2503423155,0.05552500689,0.01850353941,0
e17.19,-182.1838,291.1231,218.0408,3,1.5,11.7768089,0.5043572398,0.1163810009,0.05463313627,0.02365648663,0
e17.20,750.3855,835.0847,750.3855,0,0,24.58827199,0.3812409078,0.06678294366,0.02224418525,0.01299698416,0
e18.1,-54.296,208.6007,171.4358,9,4.5,9.634564806,0.3741347998,0.4954257518,0.2585310709,0.07386662282,0
e18.2,231.9794,346.1696,297.8807,4,2,7.324013444,0.5591298174,0.4795461178,0.2672485264,0.07523670625,0
e18.3,414.1788,491.4683,414.1818,2,1,17.96037297,0.5306147353,0.4736397217,0.2597472255,0.07046514775,0
e18.4,133.574,205.6047,158.5454,10,5,7.91952218,0.3535572204,0.5369395569,0.2412342457,0.06753038565,0
e18.5,0.9031,250.6555,200.0749,13,6.5,5.525924256,0.3119318508,0.6758660196,0.3531692373,0.09747047889,0
e18.6,-462.2012,1255.8503,752.0107,6,3,227.7853778,159.4507722,91.84849533,14.45460407,0.1019544608,0
e18.7,-572.6348,651.7433,574.9731,2,1,37.08549855,3.957099595,0.979647532,0.4630227814,0.1163042731,0
e18.8,33.8216,506.8037,255.4626,16,8,45.63233052,19.80402323,21.19174805,7.538269982,0.06976396849,0
e18.9,1021.9925,1255.778,1136.807,5,2.5,995.778849,11.69117678,5.468379685,1.576068801,0.2291614957,0
e18.10,833.5555,878.3305,833.5555,0,0,361.6048593,1.487098318,0.8825180457,0.3689728538,0.1029954085,0
e18.11,374.2753,403.0353,374.2753,0,0,81.28079863,0.6055959069,0.6738053844,0.313864865,0.08775548161,0
e18.12,227.1223,293.7416,255.1238,4,2,6.593375652,0.4585623058,0.6006775399,0.3810124737,0.1221866672,0
e18.13,84.4628,239.8506,183.1562,17,8.5,4.061484584,0.4143223398,0.4621868095,0.2688970604,0.07159897858,0
e18.14,73.467,174.2864,143.3552,12,6,3.338783013,0.3589014974,0.499156858,0.2639643639,0.0691614007,0
e18.15,-208.5789,292.523,224.4847,14,7,37.87226851,0.3460759594,0.4875531121,0.2445097144,0.06546856492,0
e18.16,-147.9217,851.6058,673.174,4,2,154.81984,15.71433743,2.14711497,0.5567068971,0.1489745216,0
e18.17,-1329.8481,1403.0468,1329.8481,0,0,1346.084204,3.187704941,0.9374373328,0.3603457139,0.09779211077,0
e18.18,-1329.8481,1403.0468,1329.8489,0,0,1133.465692,7.242233464,1.852559993,0.4776109087,0.1238923798,0
e18.19,1348.6341,1526.3267,1397.9828,1,0.5,1345.075131,10.98282266,2.865688015,0.7763585658,0.2135307764,0
e18.20,-70.0137,447.7849,385.0364,7,3.5,78.8497221,5.852413765,1.483834504,0.5682597505,0.1629765507,0
e19.1,72.5073,211.6516,170.2767,6,3,4.400772575,0.9014408343,0.8710776037,0.3736106654,0.1149759352,0
e19.2,-273.1164,340.5146,303.1788,6,3,5.896346129,1.153933403,1.476919621,0.4762183816,0.1261502244,0
e19.3,-418.9748,445.5948,426.9599,4,2,8.355340254,0.8826889179,0.7889763866,0.3964997009,0.1097891839,0
e19.4,-23.9644,148.8748,121.9634,15,7.5,5.503195147,0.6837009835,0.7047801461,0.3455792047,0.09409668574,0
e19.5,151.2993,207.2951,171.8915,6,5,4.546701178,0.8849302638,0.7879368139,0.392636104,0.1034754508,0
e19.6,219.2407,285.8991,224.3101,10,5,5.879630794,1.508169764,1.098643584,0.7138949874,0.1264682823,0
e19.7,94.7619,306.9755,247.4996,9,4.5,6.687706009,0.8700773109,0.9947597821,0.4178232859,0.1056548544,0
e19.8,-254.633,310.2299,272.0076,6,3,7.447929476,1.131064642,1.068643563,0.6166482146,0.1768774434,0
e19.9,-115.5201,220.015,195.0208,8,4,4.6539501,0.9128130036,1.00729164,0.4784153091,0.145425126,0
e19.10,45.3723,174.5121,137.3237,13,6.5,5.956026025,0.7697195418,0.8613574945,0.3256439387,0.09615572813,0
e19.11,59.1994,217.9641,165.3749,5,2.5,4.991739435,1.252384844,0.9915572182,0.6419638511,0.1453363884,0
e19.12,-4.3473,209.3023,171.9541,10,5,3.209741206,0.8343560451,0.7825562247,0.3673531497,0.08737898562,0
e19.13,-187.5945,296.2827,247.6635,8,4,4.262170271,0.8530641666,0.8763328838,0.4122478708,0.1120313691,0
e19.14,-177.8134,231.032,197.6738,7,3.5,2.653871535,0.8484352987,0.7717612671,0.3748627156,0.1176372805,0
e19.15,-263.0933,345.4858,314.1046,5,2.5,4.788195875,1.22276495,1.329207588,0.5722344631,0.1518083308,0
e19.16,-89.4931,197.8638,153.971,15,7.5,1.726712423,0.9709936566,0.7841246864,0.3475320135,0.09460228151,0
e19.17,202.4525,237.4734,202.5199,2,1,3.535925381,0.7938451027,0.7114157651,0.3558040243,0.0991314359,0
e19.18,-79.2977,229.7544,196.6679,6,3,2.390659415,0.9510262704,0.9296691365,0.4143796141,0.1185408734,0
e19.19,12.8717,252.6836,213.0488,5,2.5,2.18509382,1.193050594,1.404062095,0.5555060609,0.1599781194,0
e19.20,-153.4357,314.9486,262.5725,4,2,3.981688724,0.8893418588,0.8393278399,0.4220870998,0.1089512569,0
e20.1,794.6248,1018.7605,914.886429,1,0.5,41.21969287,1.537834281,0.6249342605,0.2957600912,0.07064897216,1
e20.2,-636.9935,648.3071,636.9935,0,0,23.87780167,0.3369867932,0.173203565,0.1285678291,0.03639211847,1
e20.3,-344.0351,362.455,344.0351,0,0,6.47165087,0.3717333561,0.1847150467,0.1544151541,0.05347520228,1
e20.4,-112.144,154.9341,130.1286,6,3,1.580101484,0.2936298105,0.1717058952,0.1329283341,0.04436503613,1
e20.5,-107.3906,200.3709,153.6834,6,3,2.137341781,0.4579366222,0.2049577186,0.1333913954,0.03555995274,1
e20.6,95.7448,458.0549,376.8052,5,2.5,11.18188753,0.9552868824,0.4305917315,0.2312894245,0.05771264755,1
e20.7,668.0246,686.9957,668.0246,0,0,25.35439449,0.5079662429,0.2272369105,0.151130651,0.03633366956,1
e20.8,-223.1755,305.2024,273.6354,3,1.5,5.691465687,0.4112682618,0.317948846,0.187302741,0.05016728475,1
e20.9,-130.3354,157.3001,133.7252,4,2,2.262542886,0.2720510101,0.1532401423,0.1213776931,0.03573375529,1
e20.10,-25.9522,94.1842,68.8914,10,5,0.8447777187,0.3029053184,0.167264922,0.1475837142,0.04818514199,1
e20.11,72.2063,116.6107,92.8747,9,4.5,0.7051175285,0.2922198408,0.1795136468,0.1430148659,0.04427122904,1
e20.12,-94.8015,160.4893,118.736,11,5.5,2.954397735,0.3632829636,0.1781932322,0.1289557178,0.03683214141,1
e20.13,419.632,638.3099,513.4967,1,0.5,27.11994388,1.201459592,0.3439751805,0.2204387826,0.05340658426,1
e20.14,26.6726,353.7891,305.8579,5,2.5,8.567013547,0.5213072715,0.2592910781,0.157567458,0.04024830761,1
e20.15,-289.2651,311.8816,289.2651,0,0,11.79355272,0.3549790522,0.1972073246,0.1832441743,0.05283714061,1
e20.16,-62.3152,118.4299,88.5557,5,2.5,2.291607035,0.2546743966,0.1543172613,0.1240627026,0.03559286998,1
e20.17,62.9051,111.5964,89.7452,12,6,1.069967432,0.2545865359,0.1542348522,0.1254884759,0.03454389263,1
e20.18,61.065,113.2922,85.8515,11,5.5,0.65843081,0.50269669,0.1967863549,0.1821690388,0.05315536322,1
e20.19,-37.7074,83.7179,49.9238,19,9.5,0.7421485243,0.2987732626,0.1605275899,0.1216685769,0.03507791316,1
e20.20,45.0761,109.1797,85.4237,9,4.5,1.6890942,0.3605096138,0.1912851073,0.1815445797,0.05675310817,1
e33.1,-50.0521,100.3175,72.246,19,9.5,0.6135058339,0.1105387903,0.1411433909,0.311414533,0.2436673327,1
e33.2,7.2928,75.9028,49.4988,17,8.5,0.4650646327,0.1440110322,0.1084334572,0.2171799884,0.1501301118,1
e33.3,-2.4257,92.7764,61.0221,24,12,0.5601808382,0.1554384636,0.09399254335,0.3061818822,0.2413867892,1
e33.4,32.7721,109.5626,81.0808,16,8,0.7689811423,0.2084864418,0.1064352684,0.2947353035,0.2327674286,1
e33.5,-96.9317,268.6784,220.8977,9,4.5,6.154932559,0.4476241886,0.1705944889,0.2008765781,0.1539868548,1
e33.6,-204.2464,280.9347,233.6632,8,4,6.551671042,0.5973417419,0.3077957302,0.2579827228,0.1711728768,1
e33.7,79.6414,186.7136,166.9181,7,3.5,3.197619721,0.2018791365,0.1198498925,0.2939803838,0.2425967872,1
e33.8,42.9369,92.5077,68.7634,12,6,2.123614837,0.08779819631,0.1244563635,0.2859818835,0.2256835154,1
e33.9,-6.8388,117.4949,89.7112,14,7,1.03253875,0.1706213283,0.09051829507,0.2276856297,0.1744758061,1
e33.10,-25.83,135.1787,109.7974,12,6,1.006811374,0.1729659585,0.0961543998,0.308894433,0.2540750243,1
e33.11,91.3031,280.015,224.5029,11,5.5,2.087966536,0.2323674406,0.2205586081,0.2841001889,0.2445198295,1
e33.12,-34.059,157.5969,140.0777,10,5,1.077826766,0.2009793401,0.1196517592,0.1944300117,0.1351935322,1
e33.13,82.8553,161.2493,123.3449,12,6,1.064643317,0.205009459,0.1376918847,0.3014402317,0.2277394551,1
e33.14,161.3766,221.0455,186.8403,14,7,1.595321288,0.2078299153,0.1181112837,0.2830558818,0.2415653538,1
e33.15,117.426,164.784,149.7694,12,6,1.787955497,0.2011927277,0.1554881485,0.3513767813,0.2399304406,1
e33.16,68.2939,131.6299,101.9514,18,9,1.285932026,0.2046005322,0.1156369856,0.2043707656,0.1650790193,1
e33.17,-153.0846,273.6309,212.5671,7,3.5,3.937118677,0.3021191539,0.1403405242,0.2945907061,0.249580424,1
e33.18,-57.9444,142.1225,110.5687,16,8,1.459980778,0.30757491,0.135447222,0.2971703112,0.2274584263,1
e33.19,-124.1842,221.7022,192.3728,7,3.5,3.936567966,0.148486175,0.1307599453,0.2919458676,0.2474328663,1
e33.20,60.5113,131.4906,110.7895,10,5,1.42444304,0.1659081797,0.1136338706,0.1896623475,0.1519356458,1
e38.1,60.5203,90.3701,69.5809,11,5,0.8273944354,0.1212879539,0.03771425634,0.01262557174,0.001775372891,1
e38.2,-54.29,179.463,135.3086,7,3.5,2.458605587,0.2489203972,0.06277079699,0.01619482151,0.002108866674,1
e38.3,-17.6403,138.2911,120.2827,6,3,1.113769005,0.2647876422,0.05223445989,0.01379559004,0.002485995184,1
e38.4,32.8822,117.442,101.318,8,4,2.341685077,0.1405158345,0.02286726229,0.009209526708,0.001266376501,1
e38.5,220.9299,241.3269,221.8748,2,1,3.427101328,0.2207866399,0.04388055097,0.01346345996,0.001721125288,1
e38.6,20.3581,132.9191,110.0881,5,2.5,1.182923424,0.1682419936,0.04489732397,0.01287466624,0.002315248191,1
e38.7,-61.3728,154.3202,123.1146,7,3.5,2.026794677,0.1708962212,0.0260451929,0.01089545403,0.001408401709,1
e38.8,10.9882,147.8248,123.5521,4,2,1.46812274,0.167514431,0.04594278146,0.01313323347,0.002472355953,1
e38.9,11.2141,130.1203,108.2147,9,4.5,1.998885541,0.09102303718,0.03736760897,0.01272210307,0.001792806637,1
e38.10,-56.3732,163.2264,145.4584,6,3,2.34157058,0.2281310597,0.04736870301,0.01633019393,0.002161492947,1
e38.11,-26.227,135.5861,109.3686,10,5,3.048145397,0.1311327701,0.0338057544,0.01228078082,0.001672063021,1
e38.12,81.659,147.9513,123.8167,9,4.5,1.487729118,0.1583703545,0.04117880169,0.01633040251,0.002293917046,1
e38.13,104.698,178.9284,155.6316,2,1,1.656769821,0.100104705,0.03124659439,0.01022602848,0.001744442641,1
e38.14,84.3824,143.413,118.5559,6,3,1.414409082,0.07646823832,0.03419484357,0.01005242504,0.001371332064,1
e38.15,30.0188,208.0585,167.2296,5,2.5,1.494532495,0.204891386,0.03936067066,0.01263984633,0.001492187726,1
e38.16,-48.9459,113.3977,96.7252,6,3,1.240344112,0.09905368726,0.02954278257,0.008928393458,0.001165696543,1
e38.17,-160.9119,209.9226,168.2955,5,2.5,2.343538269,0.06725044573,0.01756382403,0.00946706186,0.001258982212,1
e38.18,6.3051,85.0222,63.1098,17,8.5,0.4874244137,0.09603896366,0.03501208268,0.01154383562,0.001317329447,1
e38.19,-68.1767,118.1296,99.3618,6,3,1.016923558,0.1308885385,0.04729650335,0.01226602254,0.00141889387,1
e38.20,-170.0624,189.0828,170.0624,0,0,1.725548104,0.0849280306,0.02959281481,0.01068440845,0.002041615269,1
e40.1,-14.647048,106.0399,51.920157,70,35,0.2722523876,0.2814101564,0.4739827181,0.5660581181,0.154524026,0
e40.2,-11.245413,101.369569,48.809487,62,31,0.3078562284,0.2672306979,0.4520018972,0.5362236725,0.1414213684,0
e40.3,19.608311,103.690929,50.889315,38,19,0.6673101822,0.258796551,0.4611891258,0.5281541113,0.1337215694,0
e40.4,-15.887419,107.772014,57.383499,49,24.5,0.3620125146,0.2584343099,0.4907337185,0.5692330055,0.16482017,0
e40.5,5.621496,108.947336,53.079583,40,20,0.6014246642,0.3206477422,0.5228918965,0.5856405533,0.1773775674,0
e40.6,37.332334,107.757408,59.934035,16,8,0.8544483791,0.2675822646,0.4829248415,0.5679080885,0.1657796354,0
e40.7,13.982829,106.250146,46.882512,55,27.5,0.3676031027,0.2708904862,0.5042882598,0.5790066542,0.1643864141,0
e40.8,10.798751,105.581785,46.22761,45,22.5,0.4150354026,0.2603947544,0.4806682789,0.5712569183,0.1574674974,0
e40.9,7.370295,104.289537,45.750861,58,29,0.491743321,0.2893115659,0.5098766448,0.567032206,0.1564675171,0
e40.10,0.724382,102.949878,42.326766,69,34.5,0.3147927586,0.234940427,0.4658772267,0.5623880613,0.1569697616,0
e40.11,8.285822,103.405171,46.54603,64,32,0.3060376551,0.2392617683,0.4213412053,0.5519239898,0.1531335973,0
e40.12,-23.728404,108.445443,58.730753,23,11.5,0.8027337073,0.2128602011,0.4288170967,0.555763568,0.155249506,0
e40.13,-39.146326,111.880212,70.445543,6,3,0.948504045,0.2391306434,0.4080838683,0.5493084827,0.1559845213,0
e40.14,-30.876784,83.036876,48.194354,28,14,0.3724234376,0.1165480864,0.2114965015,0.2856219473,0.08470809328,0
e40.15,-13.420981,103.669106,51.858015,43,21.5,0.393090185,0.287045814,0.3726522948,0.5108696039,0.1778795618,0
e40.16,9.406388,105.124629,46.996066,74,37,0.3830179084,0.2593710402,0.3813723985,0.554658305,0.1697975267,0
e40.17,32.431048,107.168655,53.78348,43,21.5,0.6756506452,0.2556831024,0.4116369791,0.5430652177,0.1513781736,0
e40.18,20.18886,105.830422,52.694716,48,24,0.6197453806,0.2503787245,0.4279730337,0.5599348213,0.1537574797,0
e40.19,19.738845,124.861144,70.620037,46,23,0.5317813035,0.1927598126,0.4135619758,0.5306892405,0.1417611168,0
e40.20,-27.318389,116.803766,75.864988,15,7.5,0.5083336069,0.269283426,0.460638296,0.5272425366,0.1384257249,0
e41.1,94.682,276.7891,166.2005,15,7.5,3.381915432,2.694583432,1.46924251,2.114613599,1.575897465,1
e41.2,-19.0333,216.2599,126.1009,21,10.5,3.113285807,1.605597342,0.8732017537,1.437620371,1.044774479,1
e41.3,-1.587,246.3643,132.5702,17,8.5,2.555216547,2.45957082,1.398497359,2.002677441,1.446884119,1
e41.4,-213.2322,332.4862,284.3957,6,3,4.331429346,2.488935383,1.294070621,2.190095723,1.613699035,1
e41.5,-171.726,344.3183,267.7614,16,8,6.614750717,2.826618135,1.596030644,2.156149185,1.566301865,1
e41.6,6.863,300.5348,229.4357,9,4.5,4.556290779,1.924866011,0.8643517295,1.481824909,0.991826278,1
e41.7,211.5464,338.9317,219.4189,8,4,5.987685135,2.640812494,1.395978461,2.084374182,1.507907733,1
e41.8,62.5277,255.6122,144.1351,22,11,7.783256898,2.793379259,1.601862442,2.124415662,1.476471424,1
e41.9,10.9137,218.3628,120.7894,16,8,3.236451335,1.945952051,0.8276814775,1.45928813,1.004922716,1
e41.10,-267.5034,379.0355,335.1507,7,3.5,6.924922474,2.703026413,1.427044296,2.101368851,1.50722296,1
e41.11,-108.7889,273.1851,193.9436,14,7,3.728253393,2.671511402,1.388976984,2.206569882,1.555246019,1
e41.12,33.8776,229.8096,126.4277,19,9.5,1.730187644,1.837377861,0.8500539137,1.486082449,1.09139845,1
e41.13,267.0156,355.8818,270.725,6,3,4.839737287,2.604053627,1.268310957,1.831121358,1.256523701,1
e41.14,162.2337,324.676,212.9273,9,4.5,3.867045218,2.682431414,1.300292401,2.130726427,1.457464901,1
e41.15,32.9823,246.6861,146.1607,15,7.5,3.264248583,1.86413612,0.8163033435,1.423006788,1.011923762,1
e41.16,-32.7346,276.1501,176.0474,12,6,4.485666825,2.888809304,1.426836586,2.001042787,1.311811871,1
e41.17,-176.3364,325.0555,257.7955,11,5.5,4.16686988,2.876807912,1.4239158,2.107865992,1.483817769,1
e41.18,-317.8216,407.9646,362.4966,7,3.5,9.654144993,1.999322662,0.8738533297,1.497389872,1.036221454,1
e41.19,22.3966,229.4463,117.9416,12,6,4.369838439,2.901781349,1.428568504,1.950409941,1.270849097,1
